uuid,name,type,primary_role,cb_url,domain,homepage_url,logo_url,facebook_url,twitter_url,linkedin_url,combined_stock_symbols,city,region,country_code,short_description
b04f6634-a9f2-868d-d26a-fde29ab6a7a9,Wix,organization,company,https://www.crunchbase.com/organization/wix?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,wix.com,http://www.wix.com/,https://images.crunchbase.com/image/upload/t_cb-default-original/jokhst3pxevsbh74pvyu,http://www.facebook.com/wix/,https://twitter.com/wix,https://www.linkedin.com/company/wix-com/,nasdaq:WIX,Tel Aviv,Tel Aviv,ISR,Wix provides a platform for the development of cloud data services for millions of registered users worldwide.
e1ab5d23-2dfd-0a7d-11cc-8295526babdc,JackBe,organization,company,https://www.crunchbase.com/organization/jackbe?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,jackbe.com,https://jackbe.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182018/092adc67a7b0c4416250faf98dd59a2b.jpg,http://www.facebook.com/pages/JackBe,http://twitter.com/jackbe,http://www.linkedin.com/company/jackbe,,Chevy Chase,Maryland,USA,"JackBe offers Presto, a platform that provides real-time tools to assess the business impact of changing conditions as they happen."
79ee09de-d880-0f35-6b2f-820ec3871f42,Adobe Sign,organization,company,https://www.crunchbase.com/organization/echosign?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,acrobat.adobe.com,https://acrobat.adobe.com/us/en/sign.html,https://images.crunchbase.com/image/upload/t_cb-default-original/v1444760396/ggcfs5lplaxixzrgr2fd.jpg,https://www.facebook.com/adobedocumentcloud,http://twitter.com/adobedoccloud,https://www.linkedin.com/company/adobe-document-cloud,,San Francisco,California,USA,"Adobe Sign, formerly EchoSign is an e-signature and contract management company that helps its users get their documents signed online."
c026df0b-49d1-8835-015c-60b0d192efe1,tyntec,organization,company,https://www.crunchbase.com/organization/tyntec?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tyntec.com,http://www.tyntec.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1425636110/bkydof1jg83lwjmvnh4y.jpg,https://www.facebook.com/tyntec-351627684904057,http://twitter.com/tyntec,http://www.linkedin.com/company/tyntec,,San Francisco,California,USA,tyntec develops technology solutions that focus on telecommunication to connect brands with their customers.
446951aa-532c-9d8b-6141-4fbb3cf2d621,Taste,organization,company,https://www.crunchbase.com/organization/tastebook?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tastecooking.com,https://tastecooking.com,https://images.crunchbase.com/image/upload/t_cb-default-original/qffdlw7ug1k1ztgieuho,https://www.facebook.com/tastecookingmag/,https://twitter.com/taste_cooking,https://www.linkedin.com/company/taste-cooking,,New York,New York,USA,Taste is a web platform that allows users to create and order custom hardback cookbooks.
58a5a57a-14ce-0633-cd1e-2026d80a4d6c,Simpy,organization,company,https://www.crunchbase.com/organization/simpy?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,simpy.com,http://www.simpy.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182036/9a98a43c91adf67b3247c3bce97d1713.png,https://www.facebook.com/reutersagency,https://www.twitter.com/reutersagency,https://www.linkedin.com/company/reuters-news-agency,,Brooklyn,New York,USA,"Simpy is a social bookmarking service. With Simpy, you can save, tag and search your own bookmarks and notes or browse and search other"
0fe01984-0dfa-e0e3-2046-73c40784a39a,Ubertor,organization,company,https://www.crunchbase.com/organization/ubertor?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ubertor.com,http://www.ubertor.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182040/31d86c6d306b5b2eacc60a9de823207d.png,http://www.facebook.com/Ubertor,http://twitter.com/ubertor,http://www.linkedin.com/company/ubertor.com,,Richmond Hill,Ontario,CAN,The business of Real Estate made easy. Ubertor provides fresh and easy to use software tailored towards Realtors and Real Estate. We help
7ac8f6c2-b353-4d55-75f7-eeaa38221f77,Crusher,organization,company,https://www.crunchbase.com/organization/crusher?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,crush3r.com,http://CRUSH3R.com,,,,,,San Francisco,California,USA,Crusher is a company made up of designer developers focusing on events publishing invitation services.
c41ecede-3661-fed1-4927-3e2bbc264f0a,YowTRIP,organization,company,https://www.crunchbase.com/organization/yowtrip?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,yowtrip.com,http://www.yowtrip.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182052/c57c3e3796281863a87861db86c8a846.gif,,,,,Montréal,Quebec,CAN,YowTRIP is a social network site that connects you with other world travelers in your town or wherever you're traveling.
e1aba49b-51e3-7a0a-42a2-bfccf6772c83,Rollbase,organization,company,https://www.crunchbase.com/organization/rollbase?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,rollbase.ph,http://www.rollbase.ph,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182054/d133bc47c727d8ba2b12609005a0c561.png,,,https://www.linkedin.com/company/rollbaseinc,,Saratoga,California,USA,Rollbase (now Infinite Blue) is a cloud platform for creating SaaS business applications using drag-and-drop tools with minimal coding.
76809208-640b-24f2-5f11-72622d07ef52,ADI Time,organization,company,https://www.crunchbase.com/organization/aditime?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,aditime.com,http://www.aditime.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182066/bee9f3704317794f3fdae2a7b6df371c.jpg,,https://www.twitter.com/asure_software,https://www.linkedin.com/company/asure-software,,Warwick,Rhode Island,USA,ADI Time develops cloud computing time and SaaS-based attendance management solutions for enterprises.
79435a8f-cf00-02f8-c5db-97fdbf1a8086,BIGContacts,organization,company,https://www.crunchbase.com/organization/bigcontacts?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bigcontacts.com,http://www.bigcontacts.com,https://images.crunchbase.com/image/upload/t_cb-default-original/ixoa4sgc4hu0lbjbhpwh,http://www.facebook.com/pages/BigContacts/114944808597669,http://twitter.com/bigcontactscrm,https://www.linkedin.com/company/big-contacts-llc,,Edina,Missouri,USA,BIGContacts is an all-in-one CRM & Email Marketing platform that helps small businesses create more profitable relationships.
82f2c90f-577d-f123-8d56-8abd2bf468b3,All-Scrap,organization,company,https://www.crunchbase.com/organization/all-scrap?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,all-scrap.com,http://www.all-scrap.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182071/f63d86155c7060c81331c330e6e91c2e.jpg,,,,,Florida,New York,USA,All-Scrap is a subscription-based recycling exchange site that allows individuals to sell and buy recyclable materials.
cf9ed35d-5ebd-208c-0889-e0c768f261a9,Confabb,organization,company,https://www.crunchbase.com/organization/confabb?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,confabb.com,http://www.confabb.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397181939/85beaf5e0d61d44d569733f0ebfe2a2d.gif,,,,,Washington,District of Columbia,USA,Confabb offers an online directory providing individuals with information about professional events and conferences.
14566400-b185-bafa-6288-5448c7ad6690,JobDig,organization,company,https://www.crunchbase.com/organization/jobdig?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,linkup.com,https://www.linkup.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182071/9a19edf9b400aa7d065c38a89aa738e2.gif,http://www.facebook.com/JobDig,http://twitter.com/jobs_on_jobdig,https://www.linkedin.com/company/jobdig,,Minneapolis,Minnesota,USA,JobDig is an employment-focused media company that helps business of all sizes within any industry lower the cost and improve the
8f6dea7d-50b7-8774-81ab-f7b49a20e550,Marakana,organization,company,https://www.crunchbase.com/organization/marakana?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,marakana.com,http://marakana.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182073/9c32d344f41808569508352463a35741.png,,https://www.twitter.com/marakana,https://www.linkedin.com/company/marakana-inc/,,San Francisco,California,USA,Marakana is an open-source training platform providing lessons on open source software solutions and agile practices for IT professionals.
0209dbf6-0ea5-469d-d926-4c5b9458f0e3,Livra Panels,organization,company,https://www.crunchbase.com/organization/livra?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,livrapanels.com,http://www.livrapanels.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182075/c194a9d2e2a0d6fe42706d6168b63ccd.jpg,http://www.facebook.com/livrapanels,http://twitter.com/livrapanels,http://www.linkedin.com/company/31835,,Buenos Aires,Distrito Federal,ARG,Livra Panels is an online market research panel provider for the Spanish- and Portuguese-speaking markets.
2d015321-2e38-4a1c-f9e5-b5257e974c16,Predictify,organization,company,https://www.crunchbase.com/organization/predictify?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,predictify.com,http://www.predictify.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182077/3061f8e357d379a8021333ad6cb21d0a.png,,,,,Redwood City,California,USA,Predictify is a prediction platform for users to predict the future and build a reputation based on the accuracy of them.
91d8cb89-4ff5-67b9-7920-948496538807,United Dogs and Cats,organization,company,https://www.crunchbase.com/organization/uniteddogsandcats?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,uniteddogs.com,http://www.uniteddogs.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182079/2b8aef6cf3d8e9a53736a5cefde59c72.png,,http://twitter.com/uniteddogs,,,Tallinn,Harjumaa,EST,United Dogs and Cats is an online community for dog and cat loving people to communicate with each other.
ab3ad32d-e0cb-e85d-48a9-50c860e80bd9,Digitalsmiths,organization,company,https://www.crunchbase.com/organization/digitalsmiths?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,digitalsmiths.com,http://www.digitalsmiths.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397181023/7038405f8a0bc822d9f0cf178728e310.png,,http://twitter.com/Digitalsmiths,https://www.linkedin.com/company/digitalsmiths/,,Durham,North Carolina,USA,"Digitalsmiths connects consumers to relevant video content through personalized search, recommendations, and discovery."
edbe980c-e684-3af7-008e-3eb694d0b846,Africa Interactive,organization,company,https://www.crunchbase.com/organization/africainteractive?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,makmendemedia.com,https://www.makmendemedia.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182082/635d81aa4ed7210155f125bc593f66d4.png,,http://twitter.com/africanewsfeed,,,Haarlem,Noord-Holland,NLD,"Africa Interactive is an online publisher, building and maintaining a worldwide, interactive multimedia platform, focused on Africa."
d8ba5443-8ae5-8afd-5595-7681f658b877,TrialPay,organization,company,https://www.crunchbase.com/organization/trialpay?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,trialpay.com,http://trialpay.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182089/505fb1dc0820e88bc917e8031063ac46.png,http://www.facebook.com/pages/TrialPay/105863362777306,http://twitter.com/trialpay,http://www.linkedin.com/company/trialpay,,Mountain View,California,USA,TrialPay is an offer-based payments platform enabling customers to pay for one item by trying or buying something else.
43e6ec1b-09ec-94dc-4f76-f009a62fcbd3,BitWine,organization,company,https://www.crunchbase.com/organization/bitwineinc?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bitwine.com,http://www.bitwine.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182091/929ccffe689263577fcb0031ddd2b5a9.png,https://www.facebook.com/bitwine,http://twitter.com/BitWine,https://www.linkedin.com/company/bitwine,,Tenafly,New Jersey,USA,"BitWine operates a psychic and spiritual network offering users with tarot readings, spiritual coaching and connection with the deceased."
7a2cb8de-1879-3da6-cc17-fd30c481c0b7,StyleFeeder,organization,company,https://www.crunchbase.com/organization/stylefeeder?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,pos-me.com,http://pos-me.com/,https://images.crunchbase.com/image/upload/t_cb-default-original/v1456951395/jokr33jhdhhk5fqbndzl.png,https://www.facebook.com/pages/Posme-Uae/1528354254077581?ref=hl,https://twitter.com/posmeuae,https://www.linkedin.com/profile/view?id=379351318&trk=nav_responsive_tab_profile_pic,,Cambridge,Massachusetts,USA,"StyleFeeder was a social shopping service featuring a powerful recommendation algorithm, acquired by Time Inc. in 2010"
8cdfe3cb-6887-829a-3627-ed9fe6789bd4,FeedMorf,organization,company,https://www.crunchbase.com/organization/feedmorf?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,feedmorf.com,http://www.feedmorf.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182094/68a913f858ab00d2758226a39ee25a6b.jpg,,,,,Charminster,Dorset,GBR,"FeedMorf gives you access to our simple-to-use tools for your feeds, (be it RSS or a podcast etc) to morf them into something else."
35721355-6295-0c03-a6dd-216273cfab16,Vimeo,organization,company,https://www.crunchbase.com/organization/vimeo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,vimeo.com,https://vimeo.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1457638681/sshsf3tu8qbdm0uh72nu.png,http://www.facebook.com/Vimeo,http://twitter.com/Vimeo,https://www.linkedin.com/company/167813,nasdaq:VMEO,New York,New York,USA,Vimeo is a provider of all-in-one video software solutions.
297b32f7-6fd0-e2d4-bdbb-51d09793becf,InstantAction,organization,company,https://www.crunchbase.com/organization/garagegames?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,instantaction.com,http://www.instantaction.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182102/5a500f137b6ac810f4a84837d91cf4fd.png,,http://twitter.com/InstantAction,,,Las Vegas,Nevada,USA,"InstantAction is a 3D browser-based game developer, publisher and technology provider."
c917b7aa-7b49-469e-c6be-43c96501036a,Floobs,organization,company,https://www.crunchbase.com/organization/floobs?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,floobs.com,http://www.floobs.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182104/77d19f80e6508be13a6e14d82632b500.png,,,,,Helsinki,Southern Finland,FIN,Floobs Ltd is Helsinki based start-up which is developing Floobs -services for live streaming and a platform for commmunity created LIVE
7fc8c67a-0e97-7d7d-4903-80605c9450fb,Renkoo,organization,company,https://www.crunchbase.com/organization/renkoo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,renkoo.com,http://www.renkoo.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182109/d6eac745740be618973af9a36b34c7c7.png,,,,,Redwood City,California,USA,Renkoo is an app developer for social networking sites such as Facebook and MySpace.
4be9a277-4aba-0c59-b474-c308a81efcbd,Azure Health Technology,organization,company,https://www.crunchbase.com/organization/moko-social-media?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mokosocialmedia.com,http://mokosocialmedia.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1398934586/fdgq3ntzi22goqdievzr.jpg,,http://twitter.com/themokostory,https://in.linkedin.com/company/moko-social-media,asx:AZT,Sydney,New South Wales,AUS,Moko Social Media engages in delivering social networking services to consumers within the youth and young adult demographic.
80597f3c-39a6-cb08-a91c-cc124372f5ea,MangoApps,organization,company,https://www.crunchbase.com/organization/mangoapps?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mangoapps.com,http://www.mangoapps.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182112/f737903aa8f194d4e77dbe70a64eb09b.png,http://www.facebook.com/mangospring,http://twitter.com/mangospring,http://www.linkedin.com/company/83913,,London,England,GBR,MangoApps is a collaborative enterprise social network service that combines employee social networking with enterprise microblogging.
c570e906-6714-8687-caf3-dca5367a9469,eXelate,organization,company,https://www.crunchbase.com/organization/exelate?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,exelate.com,http://exelate.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182117/7416fcb216d77de28f94babe89b3cabd.jpg,http://www.facebook.com/exelate,http://twitter.com/exelate,http://www.linkedin.com/company/exelate_2,,New York,New York,USA,eXelate is a data management platform that provides data technology solutions for the digital marketing ecosystem.
7abbe1e6-5363-222c-f614-9820d2a6a5e3,BitGravity,organization,company,https://www.crunchbase.com/organization/bitgravity?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bitgravity.com,http://www.bitgravity.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397182123/6b029b65c84beb5943c7136f85955735.gif,http://www.facebook.com/bitgravity,http://twitter.com/bitgravity,,,Burlingame,California,USA,BitGravity is a content delivery network optimized for on-demand video delivery and HD live streaming.
49017988-87f3-d103-237d-25252a8a0a68,blueKiwi software,organization,company,https://www.crunchbase.com/organization/bluekiwi?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bluekiwi-software.com,http://www.bluekiwi-software.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1465936027/xywqfhuh640qqjxrhg2u.png,https://www.facebook.com/bluekiwi.software/,http://twitter.com/bluekiwi,http://www.linkedin.com/company/bluekiwi,,Paris,Ile-de-France,FRA,blueKiwi is a SaaS-based platform that develops software which assists companies in enhancing their business performance.
