uuid,name,type,primary_role,cb_url,domain,homepage_url,logo_url,facebook_url,twitter_url,linkedin_url,combined_stock_symbols,city,region,country_code,short_description
f708ad5d-f30a-e2d4-71df-d944148fe151,Flagship Pioneering,organization,investor,https://www.crunchbase.com/organization/flagship-ventures?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,flagshippioneering.com,http://flagshippioneering.com,https://images.crunchbase.com/image/upload/t_cb-default-original/oadqubovngqlpwuj7b82,,https://twitter.com/FlagshipPioneer,https://www.linkedin.com/company/flagship-pioneering,,Cambridge,Massachusetts,USA,Flagship Pioneering is a venture capital firm that invests in life sciences and healthcare companies.
63b73eac-7139-2dd7-c323-a45ad1b26167,Novestra,organization,investor,https://www.crunchbase.com/organization/novestra?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,novestra.com,http://www.novestra.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178885/f0c43181e85322a8ae62c36235e73b39.gif,,,,sto:STRAX,Stockholm,Stockholms Lan,SWE,Novestra is an independent investment company with a portfolio of private as well as public companies.
dd20f4a6-da7e-fe12-1293-8a2405a974ff,The Musser Group,organization,investor,https://www.crunchbase.com/organization/the-musser-group?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mussergroup.com,http://www.mussergroup.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178889/6df5bcfbe19c54e85cebb31556186789.png,,,,,Wayne,Pennsylvania,USA,The Musser Group was started by Warren V. Pete Musser a legend in the venture capital and private equity business. The Musser Group is a
6d0363b8-edcf-07d2-dc50-cc15adda3ede,T. Rowe Price,organization,investor,https://www.crunchbase.com/organization/t-rowe-price?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,troweprice.com,http://www.troweprice.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1487738371/c78f8njlb3rnxclvfxox.png,http://www.facebook.com/troweprice,http://www.twitter.com/troweprice,https://www.linkedin.com/company/t--rowe-price,nasdaq:TROW,Baltimore,Maryland,USA,T. Rowe Price is an investment management firm that focuses on funding technology startups.
1aeefecc-e48d-c6da-cb23-7c493b0a049e,Milestone Merchant Partners,organization,investor,https://www.crunchbase.com/organization/milestone-merchant-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,milestonecap.com,http://www.milestonecap.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178902/c1632d6df40978e2ecce94cb12ace28f.gif,,,,,Washington,District of Columbia,USA,Milestone Merchant Partners is the financial advisory firm providing investment banking services to institutions and companies.
5ea5ea38-f86f-6d3d-8ca7-be49eac4adba,Perella Weinberg,organization,investor,https://www.crunchbase.com/organization/perella-weinberg-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,pwpartners.com,http://www.pwpartners.com,https://images.crunchbase.com/image/upload/t_cb-default-original/h7zduiuigengxmzxemaj,,,https://www.linkedin.com/company/perella-weinberg-partners,nasdaq:PWP,New York,New York,USA,Perella Weinberg is a privately-owned financial services firm that provides corporate advisory and asset management services.
1aa24a8c-c7f8-ed95-25f7-8872ea5be842,Alliance Capital Ventures,organization,investor,https://www.crunchbase.com/organization/alliance-capital-ventures?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,alliancecapitalventures.com,http://www.alliancecapitalventures.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178947/694e44eb83af373aa7f3252c6347dbea.png,,,,,Charlotte,North Carolina,USA,"Difficult to determine which Alliance Capital invested in A123Systems. Probably Alliance Capital Ventures, but unsure."
3e22e8df-33c2-627b-85c6-cff4130d179e,GLG Partners,organization,investor,https://www.crunchbase.com/organization/glg-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,glgpartners.com,http://www.glgpartners.com/,https://images.crunchbase.com/image/upload/t_cb-default-original/v1506961185/ggf1jxkmstdouwzz4m0b.png,,https://twitter.com/ManGroup,https://www.linkedin.com/company/man-glg/about/,,London,England,GBR,"GLG is a discretionary investment manager that offers absolute return and long-only strategies across asset classes, sectors, and regions."
ea373d94-0a3e-c98b-0d07-6cf4641c9a20,Swiss Re,organization,investor,https://www.crunchbase.com/organization/swiss-re?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,swissre.com,http://www.swissre.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178950/74c7e2db8eb4acce63f20038abe7f9ee.png,,http://twitter.com/swissre,http://www.linkedin.com/company/swiss-re,otcpink:SSREY,Zürich,Zurich,CHE,"Swiss Re Group is a wholesale provider of reinsurance, insurance, and other insurance-based forms of risk transfer."
2c032ed1-bc66-2886-6e41-70da5de0d8fb,Lacuna LLC,organization,investor,https://www.crunchbase.com/organization/lacuna-llc?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,lacuna.com,http://www.lacuna.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178954/96a2371de80dec8b25a77a596524cd17.gif,,,,,Boulder,Colorado,USA,An objective look at early-stage companies shows there is a lacuna in public and private financing.
